全件数,町名,貸したい,売りたい,農地中間管理機構へ貸したい,農地に関する意向の表明なし,遊休農地（不耕作緑）
42,今市町,0,0,0,0,0
2,今市町北本町１丁目,0,0,0,0,0
4,今市町北本町４丁目,0,0,0,0,0
2,今市町北本町５丁目,0,0,0,0,0
35,今市町南本町,0,0,0,0,0
3,駅南町３丁目,0,0,0,0,0
642,大津町,0,0,0,5,0
2,大津新崎町２丁目,0,0,0,0,0
1,大津新崎町３丁目,0,0,0,0,0
2,大津新崎町５丁目,0,0,0,0,0
21,大津朝倉１丁目,0,0,0,0,0
8,大津朝倉２丁目,0,0,0,0,0
3,枝大津町,0,0,0,0,0
639,上塩冶町,0,0,0,7,0
26,築山新町,0,0,0,0,0
261,塩冶町,0,0,0,0,0
231,天神町,0,0,0,10,0
1,塩冶有原町１丁目,0,0,0,0,0
1,塩冶有原町３丁目,0,0,0,0,0
4,塩冶有原町６丁目,0,0,0,0,0
8,塩冶神前２丁目,0,0,0,0,0
7,塩冶神前３丁目,0,0,0,0,0
19,塩冶神前４丁目,0,0,0,0,0
2,塩冶神前５丁目,0,0,0,0,0
9,塩冶神前６丁目,0,0,0,0,0
2,塩冶町南町２丁目,0,0,0,0,0
17,塩冶町南町４丁目,0,0,0,0,0
12,医大南町１丁目,0,0,0,0,0
27,医大南町２丁目,0,0,0,0,0
11,医大南町３丁目,0,0,0,0,0
14,塩冶原町１丁目,0,0,0,0,0
12,塩冶原町２丁目,0,0,0,0,0
10,塩冶原町３丁目,0,0,0,0,0
1331,古志町,0,0,0,11,0
1170,高松町,0,0,0,4,0
726,白枝町,0,0,0,1,0
1204,松寄下町,0,0,0,11,0
1506,浜町,0,0,0,1,2
638,下横町,0,0,0,2,1
509,矢野町,0,0,0,3,0
170,小山町,0,0,0,0,0
290,大塚町,0,0,0,0,0
26,姫原町,0,0,0,0,0
18,姫原１丁目,0,0,0,0,0
6,姫原２丁目,0,0,0,0,0
5,姫原３丁目,0,0,0,0,0
229,渡橋町,0,0,0,0,0
637,矢尾町,0,0,0,1,9
398,日下町,0,0,0,0,0
698,里方町,0,0,0,1,0
881,平野町,0,0,0,4,1
528,常松町,0,0,0,0,0
245,江田町,0,0,0,0,0
539,八島町,0,0,0,0,1
401,中野町,0,0,0,0,0
834,武志町,0,0,0,6,0
495,荻杼町,0,0,0,1,0
262,稲岡町,0,0,0,0,0
705,高岡町,0,0,0,1,13
2,中野美保北１丁目,0,0,0,0,0
13,中野美保北２丁目,0,0,0,0,0
6,中野美保北３丁目,0,0,0,0,0
9,中野美保南１丁目,0,0,0,0,0
1,中野美保南３丁目,0,0,0,0,0
555,西林木町,0,0,0,8,1
929,東林木町,0,0,0,33,0
296,西谷町,0,0,0,7,0
1573,上島町,0,0,0,5,2
663,船津町,0,0,0,1,1
1119,野尻町,0,0,0,11,12
3645,■原町,0,0,0,46,72
3,宇那手町,0,0,0,0,3
411,馬木町,0,0,0,0,0
555,朝山町,0,0,0,1,0
2000,所原町,0,0,0,10,0
1034,見々久町,0,0,0,0,14
11,馬木北町,0,0,0,0,0
1,乙立町,0,0,0,29,1
829,■渡町,0,0,0,1,0
675,下古志町,0,0,0,3,0
939,知井宮町,0,0,0,4,0
555,神門町,0,0,0,0,0
5,西新町１丁目,0,0,0,0,0
44,西新町２丁目,0,0,0,0,0
15,西新町３丁目,0,0,0,0,0
762,西神西町,0,0,0,19,17
835,東神西町,0,0,0,26,3
1479,神西沖町,0,0,0,40,34
597,大島町,0,0,0,14,1
1,神西新町,0,0,0,0,0
1661,荒茅町,0,0,0,10,14
646,東園町,0,0,0,15,1
2822,西園町,0,0,0,125,33
150,外園町,0,0,0,0,0
1783,平田町,0,0,0,7,0
40,西平田町,0,0,0,0,0
2408,■分町,0,0,0,14,8
0,島村町,0,0,0,0,0
63,出島町,0,0,0,0,0
1029,美談町,0,0,0,9,8
1132,西代町,0,0,0,24,5
1603,国富町,0,0,0,21,47
389,口宇賀町,0,0,0,1,0
543,西郷町,0,0,0,1,0
671,本庄町,0,0,0,7,1
869,万田町,0,0,0,7,0
855,奥宇賀町,0,0,0,15,0
464,河下町,0,0,0,1,3
247,唐川町,0,0,0,0,0
42,別所町,0,0,0,0,0
87,猪目町,0,0,0,0,0
602,東郷町,0,0,0,0,0
1251,東福町,0,0,0,0,0
434,久多見町,0,0,0,0,0
634,野石谷町,0,0,0,1,1
536,上岡田町,0,0,0,0,0
437,岡田町,0,0,0,0,0
1079,多久谷町,0,0,0,0,0
881,多久町,0,0,0,3,0
1441,園町,0,0,0,12,11
757,鹿園寺町,0,0,0,7,0
1134,小境町,0,0,0,4,10
300,小津町,0,0,0,2,2
329,十六島町,0,0,0,0,0
53,釜浦町,0,0,0,0,0
113,塩津町,0,0,0,0,0
75,美保町,0,0,0,0,0
260,三津町,0,0,0,0,7
34,小伊津町,0,0,0,0,3
170,坂浦町,0,0,0,0,7
261,地合町,0,0,0,0,0
1178,野郷町,0,0,0,20,15
855,美野町,0,0,0,11,2
759,佐田町朝原,0,0,0,19,10
922,佐田町須佐,0,0,0,23,9
475,佐田町原田,0,0,0,6,16
1232,佐田町大呂,0,0,0,9,74
1270,佐田町反邊,0,0,0,7,27
313,佐田町吉野,0,0,0,0,28
1740,佐田町一窪田,0,0,0,23,4
303,佐田町毛津,0,0,0,5,5
250,佐田町佐津目,0,0,0,1,13
92,佐田町高津屋,0,0,0,1,0
337,佐田町下橋波,0,0,0,1,1
227,佐田町上橋波,0,0,0,2,1
1091,佐田町東村,0,0,0,45,0
576,佐田町八幡原,0,0,0,1,0
114,多伎町神原,0,0,0,1,0
487,多伎町奥田儀,0,0,0,26,2
766,多伎町口田儀,0,0,0,6,6
1147,多伎町小田,0,0,0,28,12
502,多伎町多岐,0,0,0,13,13
727,多伎町久村,0,0,0,21,3
163,湖陵町畑村,0,0,0,15,1
253,湖陵町常楽寺,0,0,0,3,1
763,湖陵町三部,0,0,0,21,15
1029,湖陵町二部,0,0,0,61,26
1315,湖陵町大池,0,0,0,19,1
797,湖陵町板津,0,0,0,0,0
1349,湖陵町差海,0,0,0,8,1
810,大社町遙堪,0,0,0,0,2
651,大社町菱根,0,0,0,9,10
831,大社町入南,0,0,0,21,15
2219,大社町中荒木,0,0,0,129,75
1136,大社町北荒木,0,0,0,55,11
948,大社町修理免,0,0,0,65,27
61,大社町杵築東,0,0,0,0,0
139,大社町杵築南,0,0,0,1,5
425,大社町杵築西,0,0,0,9,21
75,大社町杵築北,0,0,0,0,7
69,大社町日御碕,0,0,0,0,0
24,大社町宇龍,0,0,0,0,0
159,大社町鷺浦,0,0,0,0,0
71,大社町鵜峠,0,0,0,0,0
1305,斐川町学頭,0,0,0,14,5
1265,斐川町荘原,0,0,0,7,0
